dataset,task_type,fingerprint_type,split_method,run_label,model_name,hyperparameters,train_size,val_size,test_size,train_roc_auc,train_pr_auc,train_accuracy,train_mae,train_rmse,train_r2,val_roc_auc,val_pr_auc,val_accuracy,val_mae,val_rmse,val_r2,test_roc_auc,test_pr_auc,test_accuracy,test_mae,test_rmse,test_r2
bbbp,classification,morgan,butina_atompair,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9422222222222222,0.9883605246584035,0.9285714285714286,,,,0.9428956834532374,0.9741120741220559,0.8923076923076924,,,
bbbp,classification,morgan,butina_atompair,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,0.9999999999999999,1.0,,,,0.9435972629521017,0.9884295933688376,0.9336734693877551,,,,0.9240224266820012,0.970503881780983,0.8564102564102564,,,
bbbp,classification,morgan,butina_atompair,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.8872599628329548,0.9772274783486089,0.8877551020408163,,,,0.922265340771283,0.960617743239714,0.8717948717948718,,,
bbbp,classification,morgan,butina_atompair,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9036775914634146,0.9740208149197855,0.9183673469387755,,,,0.8750672404518558,0.9383083359879327,0.8461538461538461,,,
bbbp,classification,morgan,butina_maccs,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.8930712858094604,0.9587017597432854,0.7244897959183674,,,,0.7967914438502673,0.987259657373907,0.9435897435897436,,,
bbbp,classification,morgan,butina_maccs,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999999999999999,1.0,1.0,,,,0.9080612924716855,0.9746905041221607,0.7346938775510204,,,,0.795668549905838,0.9718860073900265,0.9025641025641026,,,
bbbp,classification,morgan,butina_maccs,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9058127914723517,0.9724116494104095,0.7142857142857143,,,,0.8475790513833991,0.9873124119753725,0.9230769230769231,,,
bbbp,classification,morgan,butina_maccs,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9125446200917899,0.9754347876338698,0.7244897959183674,,,,0.8082877959927139,0.9845501846763973,0.9179487179487179,,,
bbbp,classification,morgan,butina_maccs,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.8773477053731831,0.9471456381513105,0.7346938775510204,,,,0.7810828877005348,0.9881139708057359,0.9435897435897436,,,
bbbp,classification,morgan,butina_morgan,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9037828947368421,0.9630058022901865,0.8928571428571429,,,,0.9136815171583383,0.9687514208699586,0.8666666666666667,,,
bbbp,classification,morgan,butina_morgan,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,0.9999999999999999,1.0,,,,0.9246284501061571,0.9782888495526071,0.8877551020408163,,,,0.9570155261644624,0.9868196766485328,0.8769230769230769,,,
bbbp,classification,morgan,butina_morgan,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999999999999999,1.0,1.0,,,,0.8619281045751633,0.9561165027450437,0.8877551020408163,,,,0.8869655172413794,0.9523280249448117,0.8153846153846154,,,
bbbp,classification,morgan,butina_morgan,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9252463230044268,0.9728228747601898,0.8775510204081632,,,,0.9125136165577341,0.945380368390189,0.8205128205128205,,,
bbbp,classification,morgan,butina_morgan,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9172008547008547,0.9664228825105949,0.8418367346938775,,,,0.9315068493150684,0.974045291669299,0.841025641025641,,,
